AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2019,05,150120,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,M,60 A MAS AÑOS,PERÚ,1
2025,03,200304,PIURA,HUANCABAMBA,HUARMACA,F,12-17 AÑOS,PERÚ,1
2020,11,120421,JUNÍN,JAUJA,MUQUIYAUYO,F,12-17 AÑOS,PERÚ,1
2024,02,200115,PIURA,PIURA,26 DE OCTUBRE,F,6-11 AÑOS,PERÚ,1
2024,07,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,M,18-29 AÑOS,PERÚ,3
2020,04,021801,ÁNCASH,SANTA,CHIMBOTE,F,18-29 AÑOS,VENEZUELA,1
2019,09,020601,ÁNCASH,CARHUAZ,CARHUAZ,M,12-17 AÑOS,PERÚ,1
2021,08,020611,ÁNCASH,CARHUAZ,YUNGAR,M,60 A MAS AÑOS,PERÚ,1
2023,03,150605,REGIÓN LIMA,HUARAL,CHANCAY,M,6-11 AÑOS,PERÚ,1
2025,03,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,F,12-17 AÑOS,VENEZUELA,1
2023,04,021809,ÁNCASH,SANTA,NUEVO CHIMBOTE,F,30-59 AÑOS,PERÚ,1
2024,10,130801,LA LIBERTAD,PATAZ,TAYABAMBA,F,18-29 AÑOS,PERÚ,1
2019,12,040104,AREQUIPA,AREQUIPA,CERRO COLORADO,F,12-17 AÑOS,BOLIVIA,1
2019,04,200109,PIURA,PIURA,LA ARENA,F,18-29 AÑOS,PERÚ,2
2022,11,120701,JUNÍN,TARMA,TARMA,F,12-17 AÑOS,PERÚ,1
2020,04,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,M,12-17 AÑOS,PERÚ,3
2023,02,100604,HUÁNUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,F,12-17 AÑOS,PERÚ,1
2021,10,080902,CUSCO,LA CONVENCION,ECHARATE,F,6-11 AÑOS,PERÚ,1
